,context_noise_sensitivity,context_semantic_similarity,faithfulness,context_response_relevancy,context_factual_correctness
0,0.0,0.9551371724032256,0.0,0.6153709393695691,1.0
1,0.0,0.6269865297318846,1.0,0.7604660402703103,1.0
2,0.0,0.6779988308420619,0.3333333333333333,0.2962758382288381,0.0
3,0.6666666666666666,0.7111110785869738,1.0,0.41433244261193,0.0
4,0.0,0.6324040566752316,0.8333333333333334,0.5059465855554943,0.2
5,0.0,0.8088462857227817,0.5,0.3024636644602914,1.0
6,0.25,0.9120283676164291,0.75,0.525852317395342,0.57
7,0.0,0.6851951984538818,0.6666666666666666,0.16173375028577683,0.0
8,0.45454545454545453,0.9439914497876625,1.0,0.3397955876509122,0.48
9,0.0,0.9107065333115465,0.0,0.43830437665237526,0.53
10,0.0,0.9126540379703945,0.0,0.3432853391532864,0.67
11,0.0,0.9726482838294608,1.0,0.7003608060065378,1.0
12,0.0,0.9799404848247635,1.0,0.32885390502649586,0.89
13,0.1,0.924236198705138,1.0,0.288236477365016,0.74
14,0.0,0.9232242676890822,1.0,0.0,1.0
15,0.0,0.8723923499843096,1.0,0.3387658409407616,0.55
16,0.1111111111111111,0.9048641842588527,1.0,0.7863719583772343,0.8
17,0.0,0.89246332873285,0.6666666666666666,0.6577937644783898,0.22
18,0.0,0.9507262737948925,0.0,0.4317456760892154,1.0
19,0.0,0.7595206064585178,0.8333333333333334,0.20418349965469282,0.0
20,0.0,0.6318868246556515,0.6,0.0,0.27
21,0.0,0.9484988332387032,1.0,0.35417769582630837,1.0
22,0.0,0.8934761871467124,1.0,0.416224202888243,0.44
23,0.2857142857142857,0.9472433270966054,0.2857142857142857,0.2931541141882041,0.59
24,0.2,0.8446936158294854,0.6,0.3810609477370732,0.0
25,0.6363636363636364,0.8308247026349964,1.0,0.29061287666725905,0.25
26,0.0,0.9724671015260691,1.0,0.3879397313206918,0.75
27,0.0,0.7598149878061358,0.0,0.2793130827361032,0.5
28,0.0,0.6217300949794102,0.2,0.4687437110001061,0.0
29,0.0,0.8461340590667064,1.0,0.5992502049658677,1.0
